Date,High,Low,Open,Close,Volume,Adj Close
2015-01-02,111.44000244140625,107.3499984741211,111.38999938964844,109.33000183105469,53204600.0,101.96363067626953
2015-01-05,108.6500015258789,105.41000366210938,108.29000091552734,106.25,64285500.0,99.09114837646484
2015-01-06,107.43000030517578,104.62999725341797,106.54000091552734,106.26000213623047,65797100.0,99.10047149658203
2015-01-07,108.19999694824219,106.69999694824219,107.19999694824219,107.75,40105900.0,100.4900894165039
2015-01-08,112.1500015258789,108.69999694824219,109.2300033569336,111.88999938964844,59364500.0,104.35115051269531
2015-01-09,113.25,110.20999908447266,112.66999816894531,112.01000213623047,53699500.0,104.46305084228516
2015-01-12,112.62999725341797,108.80000305175781,112.5999984741211,109.25,49650800.0,101.8890151977539
2015-01-13,112.80000305175781,108.91000366210938,111.43000030517578,110.22000122070312,67091900.0,102.79365539550781
2015-01-14,110.48999786376953,108.5,109.04000091552734,109.80000305175781,48337000.0,102.40196228027344
2015-01-15,110.05999755859375,106.66000366210938,110.0,106.81999969482422,60014000.0,99.62272644042969
2015-01-16,107.58000183105469,105.19999694824219,107.02999877929688,105.98999786376953,78513300.0,98.84866333007812
2015-01-20,108.97000122070312,106.5,107.83999633789062,108.72000122070312,49899900.0,101.39472961425781
2015-01-21,111.05999755859375,108.2699966430664,108.94999694824219,109.55000305175781,48575900.0,102.16881561279297
2015-01-22,112.47000122070312,109.72000122070312,110.26000213623047,112.4000015258789,53796400.0,104.82678985595703
2015-01-23,113.75,111.52999877929688,112.30000305175781,112.9800033569336,46464800.0,105.3676986694336
2015-01-26,114.36000061035156,112.80000305175781,113.73999786376953,113.0999984741211,55615000.0,105.47962951660156
2015-01-27,112.4800033569336,109.02999877929688,112.41999816894531,109.13999938964844,95568700.0,101.78643035888672
2015-01-28,118.12000274658203,115.30999755859375,117.62999725341797,115.30999755859375,146477100.0,107.54071807861328
2015-01-29,119.19000244140625,115.55999755859375,116.31999969482422,118.9000015258789,84436400.0,110.88882446289062
2015-01-30,120.0,116.8499984741211,118.4000015258789,117.16000366210938,83745500.0,109.26606750488281
2015-02-02,119.16999816894531,116.08000183105469,118.05000305175781,118.62999725341797,62739100.0,110.63701629638672
2015-02-03,119.08999633789062,117.61000061035156,118.5,118.6500015258789,51915700.0,110.65567016601562
2015-02-04,120.51000213623047,118.30999755859375,118.5,119.55999755859375,70149700.0,111.50433349609375
2015-02-05,120.2300033569336,119.25,120.0199966430664,119.94000244140625,42246200.0,112.30021667480469
2015-02-06,120.25,118.44999694824219,120.0199966430664,118.93000030517578,43706600.0,111.35455322265625
2015-02-09,119.83999633789062,118.43000030517578,118.55000305175781,119.72000122070312,38889800.0,112.09422302246094
2015-02-10,122.1500015258789,120.16000366210938,120.16999816894531,122.0199966430664,62008500.0,114.24772644042969
2015-02-11,124.91999816894531,122.5,122.7699966430664,124.87999725341797,73561800.0,116.92554473876953
2015-02-12,127.4800033569336,125.56999969482422,126.05999755859375,126.45999908447266,74474500.0,118.40491485595703
2015-02-13,127.27999877929688,125.6500015258789,127.27999877929688,127.08000183105469,54272200.0,118.98543548583984
2015-02-17,128.8800048828125,126.91999816894531,127.48999786376953,127.83000183105469,63152400.0,119.6876449584961
2015-02-18,128.77999877929688,127.44999694824219,127.62999725341797,128.72000122070312,44891700.0,120.52096557617188
2015-02-19,129.02999877929688,128.3300018310547,128.47999572753906,128.4499969482422,37362400.0,120.26815032958984
2015-02-20,129.5,128.0500030517578,128.6199951171875,129.5,48948400.0,121.25126647949219
2015-02-23,133.0,129.66000366210938,130.02000427246094,133.0,70974100.0,124.52832794189453
2015-02-24,133.60000610351562,131.1699981689453,132.94000244140625,132.1699981689453,69228100.0,123.75120544433594
2015-02-25,131.60000610351562,128.14999389648438,131.55999755859375,128.7899932861328,74711700.0,120.58648681640625
2015-02-26,130.8699951171875,126.61000061035156,128.7899932861328,130.4199981689453,91287500.0,122.1126480102539
2015-02-27,130.57000732421875,128.24000549316406,130.0,128.4600067138672,62014800.0,120.27752685546875
2015-03-02,130.27999877929688,128.3000030517578,129.25,129.08999633789062,48096700.0,120.86739349365234
2015-03-03,129.52000427246094,128.08999633789062,128.9600067138672,129.36000061035156,37816300.0,121.12019348144531
2015-03-04,129.55999755859375,128.32000732421875,129.10000610351562,128.5399932861328,31666300.0,120.35242462158203
2015-03-05,128.75,125.76000213623047,128.5800018310547,126.41000366210938,56517100.0,118.35811614990234
2015-03-06,129.3699951171875,126.26000213623047,128.39999389648438,126.5999984741211,72842100.0,118.53599548339844
2015-03-09,129.57000732421875,125.05999755859375,127.95999908447266,127.13999938964844,88528500.0,119.0416030883789
2015-03-10,127.22000122070312,123.80000305175781,126.41000366210938,124.51000213623047,68856600.0,116.5791244506836
2015-03-11,124.7699966430664,122.11000061035156,124.75,122.23999786376953,68939000.0,114.45370483398438
2015-03-12,124.9000015258789,121.62999725341797,122.30999755859375,124.44999694824219,48362700.0,116.52294158935547
2015-03-13,125.4000015258789,122.58000183105469,124.4000015258789,123.58999633789062,51827300.0,115.71771240234375
2015-03-16,124.94999694824219,122.87000274658203,123.87999725341797,124.94999694824219,35874300.0,116.99108123779297
2015-03-17,127.31999969482422,125.6500015258789,125.9000015258789,127.04000091552734,51023100.0,118.94796752929688
2015-03-18,129.16000366210938,126.37000274658203,127.0,128.47000122070312,65270900.0,120.28687286376953
2015-03-19,129.25,127.4000015258789,128.75,127.5,45809500.0,119.37866973876953
2015-03-20,128.39999389648438,125.16000366210938,128.25,125.9000015258789,68695100.0,117.88058471679688
2015-03-23,127.8499984741211,126.5199966430664,127.12000274658203,127.20999908447266,37709700.0,119.10714721679688
2015-03-24,128.0399932861328,126.55999755859375,127.2300033569336,126.69000244140625,32842300.0,118.62027740478516
2015-03-25,126.81999969482422,123.37999725341797,126.54000091552734,123.37999725341797,51655200.0,115.5210952758789
2015-03-26,124.87999725341797,122.5999984741211,122.76000213623047,124.23999786376953,47572900.0,116.32633209228516
2015-03-27,124.69999694824219,122.91000366210938,124.56999969482422,123.25,39546200.0,115.39938354492188
2015-03-30,126.4000015258789,124.0,124.05000305175781,126.37000274658203,47099700.0,118.3206558227539
2015-03-31,126.48999786376953,124.36000061035156,126.08999633789062,124.43000030517578,42090600.0,116.50421142578125
2015-04-01,125.12000274658203,123.0999984741211,124.81999969482422,124.25,40621400.0,116.33567810058594
2015-04-02,125.55999755859375,124.19000244140625,125.02999877929688,125.31999969482422,32220100.0,117.33753204345703
