IQ,YearsExperience,Age,Income
109,10.821811201560124,37.0,248.87224252065445
129,14.71018106865425,49.0,307.0236579574366
122,11.051941810624495,42.0,278.3975576058071
104,11.094315289204188,38.0,245.11795767173706
114,10.297323330992864,37.0,255.77863878701206
136,12.28801945892749,31.0,286.79948438482245
95,11.95606325254996,38.0,230.58168269297525
115,12.406587889454187,37.0,263.1376536743794
132,12.257153850513175,40.0,295.81280539374677
111,8.106298201138138,40.0,250.19008145677807
113,13.622117363443383,44.0,271.18420662432715
119,8.51930890944616,47.0,274.6512549357906
134,11.248358125771688,51.0,311.3980903862721
113,15.12853824990935,43.0,274.9618284723214
115,13.488473891325409,35.0,264.9198028850638
115,15.830298623522493,32.0,265.7807516469082
142,10.800643052148434,38.0,303.37575337503483
141,10.612324571653367,42.0,307.443131283127
130,14.939062101450705,34.0,289.7748298694702
123,12.376172606519571,37.0,276.58948173455934
127,17.192522697870483,40.0,300.8721786407116
134,9.698704912139203,34.0,283.7950261088466
110,13.833254238750966,46.0,271.3300862344771
131,13.590210961158807,27.0,276.3642477006107
107,14.97828910387576,46.0,269.4835488311063
113,13.559820314461042,54.0,283.4736045034214
129,13.776702937337932,41.0,293.74602411440003
105,12.439871404016499,37.0,248.3760590523295
118,14.467998004771605,40.0,279.1903844220157
111,10.842132469211094,39.0,255.64626609619523
117,14.3352933178172,42.0,279.3246204195583
92,16.717502827666298,41.0,245.2065051325227
102,10.27548348042764,35.0,233.8454260872847
113,13.792293033358577,44.0,270.3293410887494
129,13.106190298680032,34.0,284.83528070615347
118,9.671222842121564,39.0,264.71787395972956
120,12.281664700861928,44.0,280.77014021052526
126,14.267605655514629,47.0,299.8482177508464
111,13.931875097578702,40.0,264.702697854984
122,9.848927293839937,45.0,280.6498126952497
111,12.706555143229322,38.0,258.6198238868612
102,13.199735903519802,44.0,253.27796203134577
116,14.311902305917428,42.0,277.4225629932606
125,12.143528362834433,44.0,286.55376658954106
123,10.60852064203069,44.0,280.6179972227217
119,14.805864235684655,43.0,282.66832060269707
143,9.321167584435308,35.0,297.84145245386776
124,10.414349208551734,35.0,271.5573953548789
129,13.930323788214457,39.0,291.7540134140141
142,12.832495843703411,35.0,304.89188141131274
107,12.379674422841978,51.0,268.20160377684743
109,9.99991100228031,36.0,248.9848249069647
137,14.291866752608934,38.0,304.3394346417326
112,13.44615607560526,41.0,267.60620214981503
120,16.886476299336234,36.0,279.49383025930234
130,13.750894294696062,33.0,286.950952066966
128,8.540647471009944,42.0,282.4495192255786
137,12.263108152645204,40.0,303.40255799197547
134,11.778346181575461,44.0,302.81176743243003
130,11.607903264203852,42.0,293.776795448883
112,11.502782907920691,53.0,277.5678072644625
127,12.411918276883892,42.0,289.0849105171062
123,10.152221553796357,30.0,260.9514478854905
106,8.02582850131949,38.0,238.1059786262049
134,13.020935203707523,44.0,304.58426953981893
128,14.73687978719867,41.0,296.42305522634166
120,13.150809806574566,39.0,275.959669494248
117,12.738039860721397,28.0,255.69098589942064
108,10.078747493177529,39.0,250.43492688652017
121,14.156156451737818,45.0,289.1542228996388
124,7.079627094290798,46.0,277.6558320502758
111,17.089567341345926,36.0,265.6373455979421
131,10.615214562377405,48.0,297.6504553902904
109,13.783779286639263,40.0,260.2521655505298
98,10.855954956858577,41.0,237.30816492991164
130,12.269625910141798,41.0,292.50793203405055
115,11.144015632523706,39.0,263.35806065690025
118,6.993365258511248,32.0,248.0064475874865
111,13.570692560962337,34.0,256.31381805710913
103,9.327159196385233,33.0,231.69488592164467
132,9.12576380440511,37.0,283.58021883331594
113,10.784965651550346,42.0,261.2780147033119
136,11.285829135878506,45.0,303.8483908827927
128,12.879288514274572,29.0,274.33626896454695
116,10.722490942262413,29.0,250.0901228226775
109,18.70696985073171,41.0,273.5177391521234
112,8.15040546376678,44.0,258.9689411664569
107,11.184888958447097,38.0,249.56395328796094
140,13.213879351380413,32.0,299.14097960596945
121,14.720497701419099,34.0,276.43566891111215
131,13.572400785696951,34.0,287.7936676233823
107,14.116596957916242,35.0,252.25675462697617
121,10.267002783265822,50.0,284.6069067163009
131,13.488124786557341,40.0,296.3209452536061
116,15.257011354521442,41.0,277.967628047929
130,13.231205417435866,33.0,284.2860497855582
109,17.98670230647702,45.0,278.19036246847196
106,11.851521634662497,38.0,248.71689221647998
123,11.173904305604083,41.0,278.7518113095969
116,7.698004775866533,39.0,258.19127191346627
126,10.899532799035674,35.0,272.96661802792033
100,13.283253514002686,39.0,245.38207043365745
127,14.241386809862787,41.0,292.67473121237316
145,15.492825411081053,27.0,307.89748937084676
119,12.550775552731551,36.0,269.26783438566383
120,10.577442140052096,35.0,264.6048078019821
121,8.703739295258409,35.0,261.5679882222999
101,11.544542205066355,41.0,244.5310901318319
124,9.433100161976748,33.0,268.3884445505578
103,11.500183214803238,38.0,243.59506204584088
115,8.53021797748079,37.0,256.51772285789286
132,11.114120073765328,41.0,292.5467942017393
112,10.42024301386265,55.0,278.04244263886034
125,14.548270332445673,40.0,288.0955730763104
130,9.075975522128957,46.0,289.488643872006
122,7.785660695377829,50.0,281.01815156168317
106,13.960935646468759,30.0,243.17202757988062
116,15.764725460494944,41.0,278.5773352313098
139,13.933125288696058,39.0,308.34587256435447
99,11.644583766625388,32.0,229.02539271801183
117,9.853360883366106,42.0,266.43364656297035
114,11.476105419921135,39.0,262.0143468812425
