date,recipient,sender,year,month,day,hour,minute,second
2004-06-14 04:08:52,71,630,2004,6,14,4,8,52
2004-06-14 04:08:52,362,630,2004,6,14,4,8,52
2004-06-14 04:08:52,380,630,2004,6,14,4,8,52
2004-06-14 04:08:52,141,630,2004,6,14,4,8,52
2004-06-14 04:08:52,7,630,2004,6,14,4,8,52
2004-06-14 04:08:52,54,630,2004,6,14,4,8,52
2004-06-14 04:08:52,467,630,2004,6,14,4,8,52
2004-06-14 04:08:52,12,629,2004,6,14,4,8,52
2004-06-14 04:08:52,402,772,2004,6,14,4,8,52
2004-06-14 04:08:52,107,667,2004,6,14,4,8,52
2004-06-14 04:08:52,314,129,2004,6,14,4,8,52
2004-06-14 04:08:52,43,129,2004,6,14,4,8,52
2004-06-14 04:08:52,168,129,2004,6,14,4,8,52
2004-06-14 04:08:52,387,129,2004,6,14,4,8,52
2004-06-14 04:08:52,90,129,2004,6,14,4,8,52
2004-06-14 04:08:52,260,129,2004,6,14,4,8,52
2004-06-14 04:08:52,13,129,2004,6,14,4,8,52
2004-06-14 04:08:52,123,129,2004,6,14,4,8,52
2004-06-14 04:08:52,171,129,2004,6,14,4,8,52
2004-06-14 04:08:52,26,129,2004,6,14,4,8,52
2004-06-14 04:08:52,156,129,2004,6,14,4,8,52
2004-06-14 04:08:52,401,129,2004,6,14,4,8,52
2004-06-14 04:08:52,21,129,2004,6,14,4,8,52
2004-06-14 04:08:52,101,129,2004,6,14,4,8,52
2004-06-14 04:08:52,270,129,2004,6,14,4,8,52
2004-06-14 04:08:52,89,129,2004,6,14,4,8,52
2004-06-14 04:08:52,54,129,2004,6,14,4,8,52
2004-06-14 04:08:52,29,129,2004,6,14,4,8,52
2004-06-14 04:08:52,307,129,2004,6,14,4,8,52
2004-06-14 04:08:52,190,129,2004,6,14,4,8,52
2004-06-14 04:08:52,43,826,2004,6,14,4,8,52
2004-06-14 04:08:52,9,41,2004,6,14,4,8,52
2004-06-14 04:08:52,107,41,2004,6,14,4,8,52
2004-06-14 04:08:52,338,41,2004,6,14,4,8,52
2004-06-14 04:08:52,1,41,2004,6,14,4,8,52
2004-06-14 04:08:52,141,41,2004,6,14,4,8,52
2004-06-14 04:08:52,7,41,2004,6,14,4,8,52
2004-06-14 04:08:52,63,41,2004,6,14,4,8,52
2004-06-14 04:08:52,22,41,2004,6,14,4,8,52
2004-06-14 04:08:52,54,41,2004,6,14,4,8,52
2004-06-14 04:08:52,130,610,2004,6,14,4,8,52
2004-06-14 04:08:52,461,610,2004,6,14,4,8,52
2004-06-14 04:08:52,143,610,2004,6,14,4,8,52
2004-06-14 04:08:52,107,610,2004,6,14,4,8,52
2004-06-14 04:08:52,236,345,2004,6,14,4,8,52
2004-06-14 04:08:52,66,345,2004,6,14,4,8,52
2004-06-14 04:08:52,219,345,2004,6,14,4,8,52
2004-06-14 04:08:52,497,345,2004,6,14,4,8,52
2004-06-14 04:08:52,265,345,2004,6,14,4,8,52
2004-06-14 04:08:52,51,345,2004,6,14,4,8,52
2004-06-14 04:08:52,115,345,2004,6,14,4,8,52
2004-06-14 04:08:52,61,345,2004,6,14,4,8,52
2004-06-14 04:08:52,77,495,2004,6,14,4,8,52
2004-06-14 04:08:52,66,684,2004,6,14,4,8,52
2004-06-14 04:08:52,43,684,2004,6,14,4,8,52
2004-06-14 04:08:52,260,133,2004,6,14,4,8,52
2004-06-14 04:08:52,174,133,2004,6,14,4,8,52
2004-06-14 04:08:52,350,133,2004,6,14,4,8,52
2004-06-14 04:08:52,147,133,2004,6,14,4,8,52
2004-06-14 04:08:52,384,133,2004,6,14,4,8,52
2004-06-14 04:08:52,376,133,2004,6,14,4,8,52
2004-06-14 04:08:52,205,133,2004,6,14,4,8,52
2004-06-14 04:08:52,322,133,2004,6,14,4,8,52
2004-06-14 04:08:52,372,582,2004,6,14,4,8,52
2004-06-14 04:08:52,88,297,2004,6,14,4,8,52
2004-06-14 04:08:52,115,297,2004,6,14,4,8,52
2004-06-14 04:08:52,11,297,2004,6,14,4,8,52
2004-06-14 04:08:52,167,768,2004,6,14,4,8,52
2004-06-14 04:08:52,400,768,2004,6,14,4,8,52
2004-06-14 04:08:52,74,768,2004,6,14,4,8,52
2004-06-14 04:08:52,120,768,2004,6,14,4,8,52
2004-06-14 04:08:52,43,342,2004,6,14,4,8,52
2004-06-14 04:08:52,73,342,2004,6,14,4,8,52
2004-06-14 04:08:52,39,342,2004,6,14,4,8,52
2004-06-14 04:08:52,7,342,2004,6,14,4,8,52
2004-06-14 04:08:52,8,581,2004,6,14,4,8,52
2004-06-14 04:08:52,319,581,2004,6,14,4,8,52
2004-06-14 04:08:52,19,581,2004,6,14,4,8,52
2004-06-14 04:08:52,202,581,2004,6,14,4,8,52
2004-06-14 04:08:52,13,581,2004,6,14,4,8,52
2004-06-14 04:08:52,79,581,2004,6,14,4,8,52
2004-06-14 04:08:52,212,581,2004,6,14,4,8,52
2004-06-14 04:08:52,21,581,2004,6,14,4,8,52
2004-06-14 04:08:52,270,581,2004,6,14,4,8,52
2004-06-14 04:08:52,406,581,2004,6,14,4,8,52
2004-06-14 04:08:52,169,581,2004,6,14,4,8,52
2004-06-14 04:08:52,54,581,2004,6,14,4,8,52
2004-06-14 04:08:52,270,416,2004,6,14,4,8,52
2004-06-14 04:08:52,28,416,2004,6,14,4,8,52
2004-06-14 04:08:52,19,416,2004,6,14,4,8,52
2004-06-14 04:08:52,54,416,2004,6,14,4,8,52
2004-06-14 04:08:52,12,416,2004,6,14,4,8,52
2004-06-14 04:08:52,53,416,2004,6,14,4,8,52
2004-06-14 04:08:52,8,838,2004,6,14,4,8,52
2004-06-14 04:08:52,237,279,2004,6,14,4,8,52
2004-06-14 04:08:52,692,279,2004,6,14,4,8,52
2004-06-14 04:08:52,204,279,2004,6,14,4,8,52
2004-06-14 04:08:52,687,279,2004,6,14,4,8,52
2004-06-14 04:08:52,457,279,2004,6,14,4,8,52
2004-06-14 04:08:52,855,279,2004,6,14,4,8,52
2004-06-14 04:08:52,871,279,2004,6,14,4,8,52
2004-06-14 04:08:52,824,279,2004,6,14,4,8,52
2004-06-14 04:08:52,211,279,2004,6,14,4,8,52
2004-06-14 04:08:52,221,279,2004,6,14,4,8,52
2004-06-14 04:08:52,350,279,2004,6,14,4,8,52
2004-06-14 04:08:52,599,279,2004,6,14,4,8,52
2004-06-14 04:08:52,425,279,2004,6,14,4,8,52
2004-06-14 04:08:52,279,279,2004,6,14,4,8,52
2004-06-14 04:08:52,791,279,2004,6,14,4,8,52
2004-06-14 04:08:52,24,279,2004,6,14,4,8,52
2004-06-14 04:08:52,805,279,2004,6,14,4,8,52
2004-06-14 04:08:52,67,243,2004,6,14,4,8,52
2004-06-14 04:08:52,5,243,2004,6,14,4,8,52
2004-06-14 04:08:52,138,243,2004,6,14,4,8,52
2004-06-14 04:08:52,65,243,2004,6,14,4,8,52
2004-06-14 04:08:52,376,243,2004,6,14,4,8,52
2004-06-14 04:08:52,462,243,2004,6,14,4,8,52
2004-06-14 04:08:52,116,243,2004,6,14,4,8,52
2004-06-14 04:08:52,855,230,2004,6,14,4,8,52
2004-06-14 04:08:52,571,230,2004,6,14,4,8,52
2004-06-14 04:08:52,362,230,2004,6,14,4,8,52
2004-06-14 04:08:52,891,230,2004,6,14,4,8,52
2004-06-14 04:08:52,279,230,2004,6,14,4,8,52
2004-06-14 04:08:52,815,230,2004,6,14,4,8,52
2004-06-14 04:08:52,319,230,2004,6,14,4,8,52
2004-06-14 04:08:52,148,646,2004,6,14,4,8,52
2004-06-14 04:08:52,103,646,2004,6,14,4,8,52
2004-06-14 04:08:52,15,646,2004,6,14,4,8,52
2004-06-14 04:08:52,65,329,2004,6,14,4,8,52
2004-06-14 04:08:52,560,329,2004,6,14,4,8,52
2004-06-14 04:08:52,500,329,2004,6,14,4,8,52
2004-06-14 04:08:52,299,329,2004,6,14,4,8,52
2004-06-14 04:08:52,66,871,2004,6,14,4,8,52
2004-06-14 04:08:52,168,871,2004,6,14,4,8,52
2004-06-14 04:08:52,395,871,2004,6,14,4,8,52
2004-06-14 04:08:52,396,62,2004,6,14,4,8,52
2004-06-14 04:08:52,176,62,2004,6,14,4,8,52
2004-06-14 04:08:52,185,62,2004,6,14,4,8,52
2004-06-14 04:08:52,43,62,2004,6,14,4,8,52
2004-06-14 04:08:52,63,62,2004,6,14,4,8,52
2004-06-14 04:08:52,349,62,2004,6,14,4,8,52
2004-06-14 04:08:52,210,62,2004,6,14,4,8,52
